Cycle,PC001,PC002,PC003,PC004,PC005,PC006,PC007,PC008,PC009,PC010,PC011,PC012,PC013,PC014,PC015,PC016,PC017,PC018,PC019,PC020,PC021,PC022,PC023,PC024,PC025,PC026,PC027,PC028,PC029,PC030,PC031,PC032,PC033,PC034,PC035,PC036,PC037,PC038,PC039,PC040,PC041,PC042,PC043,PC044,PC045,PC046,PC047,PC048,PC049,PC050,PC051,PC052,PC053,PC054,PC055,PC056,PC057,PC058,PC059,PC060,PC061,PC062,PC063,PC064,PC065,PC066,PC067,PC068,PC069,PC070,PC071,PC072,PC073,PC074,PC075,PC076,PC077,PC078,PC079,PC080,PC081,PC082,PC083,PC084,PC085,PC086,PC087,PC088,PC089,PC090,PC091,PC092,PC093,PC094,PC095,PC096,PC097,PC098,PC099,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131
222,,,,,,,37.39,,73.53,,74.068,,69.395,66.612,,,,67.847,64.356,,,61.781,65.609,41.396,70.533,38.758,40.352,71.675,72.148,,,,,,,,42.291,,,,,65.374,64.776,,,64.238,64.029,66.964,,,40.281,37.04,68.861,69.538,68.532,70.537,69.251,38.017,40.756,39.628,38.627,67.971,71.688,39.814,38.599,39.846,67.408,68.652,69.121,38.904,39.09,40.119,,,,,37.542,,78.298,79.331,80.275,41.698,42.744,39.852,,38.565,33.129,36.912,25.998,32.889,36.81647,40.24381,37.65677,6.4132,36.42658,37.08507,32.32839,25.02139,35.97902,39.11411,,,,40.28968,28.48657,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,37.373,,73.46,,74.019,,69.347,66.544,,,,67.798,64.242,,,61.664,65.537,41.38,70.49,38.722,40.334,71.629,72.104,,,,,,,,42.263,,,,,65.328,64.733,,,64.194,63.991,66.924,,,40.244,37.014,68.817,69.494,68.486,70.484,69.197,37.985,40.728,39.585,38.613,67.937,71.636,39.787,38.556,39.818,67.36,68.602,69.072,38.887,39.067,40.117,,,,,37.429,,78.071,79.212,80.165,41.637,42.684,39.779,,38.521,33.036,36.89,25.948,32.725,36.71504,40.1986,37.60653,6.318534,36.36698,37.04858,32.29259,24.86314,35.93105,39.07972,,,,40.19951,28.35365,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,37.35,,73.389,,73.968,,0,,,,,67.749,64.127,,,61.548,65.464,41.364,70.446,38.689,40.314,71.582,72.059,,,,,,,,42.235,,,,,65.283,64.689,,,64.15,63.954,66.882,,,40.207,36.986,68.774,69.451,68.441,70.431,69.143,37.953,40.702,39.543,38.598,21.958,71.585,39.76,38.51,39.792,67.312,68.553,69.022,38.87,39.045,40.097,,,,,37.316,,77.846,79.082,80.058,41.576,42.624,39.705,,38.475,32.942,36.867,25.898,32.557,36.61417,40.15437,37.55608,6.221956,36.31028,37.0124,32.23614,24.704,35.88317,39.04584,,,,40.1032,28.21466,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,37.333,,73.317,,73.919,,,,,,,67.7,64.012,,,61.431,65.391,41.347,70.401,38.654,40.295,71.534,72.015,,,,,,,,42.21,,,,,65.237,64.644,,,64.106,63.915,66.842,,,40.169,36.96,68.73,69.407,68.395,70.379,69.089,37.919,40.676,39.494,38.584,,71.531,39.733,38.465,39.765,67.263,68.504,68.973,38.852,39.029,40.078,,,,,37.201,,77.634,78.95,79.954,41.514,42.563,39.63,,38.428,32.844,36.844,25.848,32.387,36.51172,40.11019,37.50615,6.133121,36.25116,36.9741,32.20357,24.54627,35.83324,39.014,,,,40.00671,28.07963,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,37.313,,73.243,,73.86,,,,,,,67.652,63.896,,,61.313,65.316,41.331,70.359,38.62,40.276,71.489,71.971,,,,,,,,42.185,,,,,,64.602,,,64.063,63.879,66.801,,,40.133,36.932,68.687,69.363,68.349,70.326,69.035,37.885,40.649,39.458,38.569,,71.478,39.706,38.421,39.738,67.217,68.455,68.923,38.835,39.001,40.059,,,,,37.087,,77.432,78.816,79.849,41.451,42.503,39.554,,38.38,32.749,36.822,25.798,32.218,36.40818,40.06502,37.45494,6.052356,36.19259,36.93679,32.16496,24.39331,35.78483,38.98109,,,,39.91302,27.94173,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,37.295,,73.168,,73.804,,,,,,,67.603,63.779,,,61.195,65.242,41.317,70.316,38.586,40.256,71.444,71.927,,,,,,,,42.162,,,,,,64.557,,,64.019,63.841,66.761,,,40.097,36.902,68.643,69.321,68.302,70.274,68.981,37.849,40.623,39.415,38.554,,71.426,39.678,38.377,39.711,67.17,68.408,68.874,38.819,38.984,40.039,,,,,36.972,,77.239,78.681,79.746,41.388,42.441,39.48,,38.33,32.656,36.799,25.749,32.049,36.30689,40.01832,37.40749,5.966359,36.13519,36.895,32.11936,24.23803,35.73615,38.94925,,,,39.8118,27.80126,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,37.279,,73.094,,73.754,,,,,,,67.554,63.66,,,61.073,65.167,41.299,70.273,38.552,40.239,71.399,71.884,,,,,,,,42.138,,,,,,64.514,,,63.975,63.803,66.72,,,40.06,36.871,68.6,69.277,68.256,70.222,68.927,37.815,40.596,39.373,38.54,,71.375,39.649,38.331,39.683,67.125,68.36,68.824,38.802,38.961,40.018,,,,,36.858,,77.049,78.548,79.647,41.325,42.38,39.404,,38.28,32.562,36.777,25.7,31.878,36.2043,39.97265,37.35796,5.880565,36.07656,36.85767,32.07996,24.10485,35.68811,38.91639,,,,39.71324,27.66312,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,37.261,,73.021,,73.702,,,,,,,67.505,63.542,,,60.955,65.092,41.283,70.229,38.519,40.221,71.352,71.837,,,,,,,,42.113,,,,,,64.47,,,63.932,63.766,66.679,,,40.023,36.842,68.556,69.235,68.211,70.17,68.875,37.78,40.569,39.334,38.524,,71.322,39.623,38.286,39.655,67.08,68.311,68.775,38.785,38.939,39.999,,,,,36.743,,76.862,78.41,79.568,41.262,42.316,39.33,,38.232,32.468,36.755,25.652,31.709,36.1003,39.92603,37.30726,5.799621,36.00027,36.81988,32.03944,23.96798,35.64039,38.88368,,,,39.6141,27.52047,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,37.089,,72.949,,73.65,,,,,,,67.457,63.423,,,60.831,65.016,41.266,70.187,38.487,40.202,71.304,71.796,,,,,,,,42.088,,,,,,64.427,,,63.888,63.728,66.638,,,39.984,36.813,68.512,69.191,68.165,70.117,68.822,37.747,40.542,39.296,38.509,,71.269,39.596,38.24,39.627,67.038,68.263,68.727,38.768,38.917,39.981,,,,,36.629,,76.677,78.27,79.52,41.198,42.251,39.254,,38.184,32.374,36.732,25.604,31.535,35.99732,39.87924,37.25588,5.717479,35.95093,36.78175,32.00447,23.82471,35.5919,38.85065,,,,39.51355,27.37807,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,37.216,,72.876,,73.596,,,,,,,67.409,63.304,,,60.709,64.94,41.249,70.144,38.454,40.184,71.261,71.753,,,,,,,,42.065,,,,,,64.384,,,63.845,63.69,66.598,,,39.945,36.786,68.468,69.148,68.119,70.065,68.769,37.711,40.514,39.257,38.494,,71.216,39.566,38.195,39.6,66.996,68.216,68.679,38.751,38.896,39.96,,,,,36.514,,76.506,78.134,79.493,41.133,42.188,39.179,,38.136,32.281,36.71,25.557,31.361,35.89417,39.83108,37.20312,4.892834,35.89172,36.74256,31.97515,23.67697,35.54402,38.81828,,,,39.41212,27.23544,,,,,,,,,,,,,,,,,,,,,,,,,,
